Latitude,Longitude,Occurrence Status,climate_var_1,climate_var_2
-34.0279,150.771,1,215.70059204101562,0.9670000672340393
-34.821595,147.193697,1,194.5014190673828,1.0470000505447388
-36.617759,146.882941,0,194.59744262695312,1.0170000791549683
-37.4709,144.744,1,219.39625549316406,0.9750000238418579
-38.400153,145.01856,1,212.60238647460938,0.9480000734329224
-35.328601,150.401424,0,215.70059204101562,0.9670000672340393
-38.394039,146.23123,0,192.20350646972656,0.7230000495910645
-34.79867,144.945172,0,218.50001525878906,0.9740000367164612
-38.000732,143.813159,0,218.90011596679688,0.9530000686645508
-34.3455,148.272,1,215.70059204101562,0.9670000672340393
-38.470705,145.26908,0,204.99664306640625,0.8180000185966492
-37.243579,144.102252,1,224.997802734375,0.987000048160553
-35.015442,150.82844,1,215.70059204101562,0.9670000672340393
-34.949843,149.483145,1,215.70059204101562,0.9670000672340393
-34.125963,150.559934,1,215.70059204101562,0.9670000672340393
-34.789365,145.982271,0,212.89846801757812,0.9630000591278076
-34.3694,150.544,1,215.70059204101562,0.9670000672340393
-34.344694,149.667427,1,215.70059204101562,0.9670000672340393
-37.964772,141.046056,0,234.8004913330078,0.9580000638961792
-34.558865,145.260698,0,217.69979858398438,0.9510000348091125
-36.996996,140.607947,0,242.29855346679688,0.9720000624656677
-35.068339,146.274592,1,208.4972686767578,0.9280000329017639
-38.162099,145.176004,1,210.0977020263672,0.9100000262260437
-37.5838,140.318,1,240.4020233154297,0.9410000443458557
-34.6051,150.147664,0,215.70059204101562,0.9670000672340393
-36.995598,145.768997,0,206.40069580078125,0.9720000624656677
-34.6169,148.399,1,215.70059204101562,0.9670000672340393
-32.83622,148.336145,0,215.70059204101562,0.9670000672340393
-33.2124,147.241,1,187.49949645996094,1.1160000562667847
-36.053591,147.386896,0,190.59634399414062,1.121000051498413
-35.4433,150.397,1,215.70059204101562,0.9670000672340393
-36.0195,146.35,1,209.09742736816406,0.9460000395774841
-37.128431,145.238809,1,212.4983673095703,0.968000054359436
-36.8127,144.236,1,225.70199584960938,0.9980000257492065
-37.564516,144.089689,1,223.9014892578125,0.9770000576972961
-35.067593,146.273691,1,208.4972686767578,0.9280000329017639
-35.956486,146.002457,1,213.00250244140625,0.9550000429153442
-31.382847,149.342748,0,215.70059204101562,0.9670000672340393
-36.43704,148.781093,0,215.70059204101562,0.9670000672340393
-34.7306,150.835,1,215.70059204101562,0.9670000672340393
-34.354,150.808,1,215.70059204101562,0.9670000672340393
-35.7884,146.034,1,213.2025604248047,0.9360000491142273
-37.0375,143.694,1,226.1981201171875,0.9800000190734863
-36.404308,146.688094,0,201.599365234375,1.0530000925064087
-36.8937,144.534,1,224.5016632080078,0.9740000367164612
-34.0771,150.522,1,215.70059204101562,0.9670000672340393
-34.984874,149.09543,0,215.70059204101562,0.9670000672340393
-37.92502,145.326728,1,207.4969940185547,0.8940000534057617
-35.444736,148.217283,0,215.70059204101562,0.9670000672340393
-35.211735,149.237769,0,215.70059204101562,0.9670000672340393
-34.675948,143.705219,0,230.1031951904297,0.9670000672340393
-35.782795,147.448031,1,190.79640197753906,1.1380000114440918
-34.285102,150.243522,1,215.70059204101562,0.9670000672340393
-35.100136,149.373532,1,215.70059204101562,0.9670000672340393
-35.456636,149.138897,0,215.70059204101562,0.9670000672340393
-34.284525,148.307785,1,215.70059204101562,0.9670000672340393
-36.0708,146.852,1,199.39877319335938,1.071000099182129
-32.512773,147.666211,0,215.70059204101562,0.9670000672340393
-35.480351,148.426678,0,215.70059204101562,0.9670000672340393
-34.8554,149.147,1,215.70059204101562,0.9670000672340393
-34.916802,143.881709,0,227.99862670898438,0.9620000720024109
-38.152415,144.378035,1,219.70034790039062,0.937000036239624
-36.794114,145.386164,0,210.89791870117188,0.9940000176429749
-33.6193,150.161,1,215.70059204101562,0.9670000672340393
-33.727419,144.789485,0,218.50001525878906,0.937000036239624
-38.209765,144.18425,0,220.5005645751953,0.9340000152587891
-34.018556,146.806656,0,199.39877319335938,1.0130000114440918
-35.2757,143.039212,0,235.296630859375,0.971000075340271
-37.2055,145.681,1,205.80052185058594,0.9500000476837158
-36.557624,146.077986,1,206.00057983398438,0.968000054359436
-36.097515,146.638735,0,203.3038330078125,1.0290000438690186
-36.398464,150.060302,1,215.70059204101562,0.9670000672340393
-36.723858,144.306887,1,225.3018798828125,1.0040000677108765
-33.3986,149.469,1,215.70059204101562,0.9670000672340393
-35.046703,144.152692,0,223.99752807617188,0.9660000205039978
-35.3424,149.342,1,215.70059204101562,0.9670000672340393
-37.6087,143.587,1,222.39707946777344,0.9600000381469727
-33.850392,147.681376,0,215.70059204101562,0.9670000672340393
-37.538663,147.778758,0,182.29806518554688,1.1670000553131104
-37.270073,145.282052,1,211.001953125,0.971000075340271
-34.4461,150.448,1,215.70059204101562,0.9670000672340393
-38.528687,145.783973,1,198.39840698242188,0.7950000166893005
-37.841535,145.136977,1,213.00250244140625,0.9880000352859497
-34.942505,149.248978,1,215.70059204101562,0.9670000672340393
-35.2351,149.161,1,215.70059204101562,0.9670000672340393
-37.836058,147.694374,0,215.70059204101562,0.9670000672340393
-34.560984,150.823749,1,215.70059204101562,0.9670000672340393
-36.240736,146.994757,0,195.70175170898438,1.0950000286102295
-38.141217,141.928189,0,226.59823608398438,0.9190000295639038
-37.905508,144.28225,0,222.1009979248047,0.9510000348091125
-36.912464,140.374872,0,243.9003448486328,0.9820000529289246
-33.421471,147.20007,0,188.6998291015625,1.1050000190734863
-36.618134,144.633851,0,222.197021484375,0.987000048160553
-33.569118,150.657334,1,215.70059204101562,0.9670000672340393
-31.826889,149.232244,1,215.70059204101562,0.9670000672340393
-36.661747,145.669615,0,208.29721069335938,0.9850000739097595
-38.119078,146.021973,1,189.20396423339844,0.6640000343322754
-35.988041,148.11838,0,215.70059204101562,0.9670000672340393
-37.856436,145.319714,1,209.2974853515625,0.956000030040741
-33.836719,151.053018,1,215.70059204101562,0.9670000672340393
-36.822406,142.407266,0,228.10264587402344,0.9640000462532043
-37.5479,145.124,1,212.69842529296875,0.9540000557899475
-34.154022,150.503451,1,215.70059204101562,0.9670000672340393
-37.793964,145.303467,1,207.29693603515625,0.8750000596046448
-36.16478,149.738221,0,215.70059204101562,0.9670000672340393
-37.543644,149.021866,0,215.70059204101562,0.9670000672340393
-36.8983,144.804,1,219.900390625,0.9660000205039978
-37.988021,147.121442,1,185.89906311035156,1.03000009059906
-38.246171,143.900143,0,217.09962463378906,0.9290000200271606
-35.2151,149.02,1,215.70059204101562,0.9670000672340393
-35.5626,149.814,1,215.70059204101562,0.9670000672340393
-36.42932,148.358872,1,215.70059204101562,0.9670000672340393
-32.570057,148.935248,0,215.70059204101562,0.9670000672340393
-37.570488,149.762933,1,215.70059204101562,0.9670000672340393
-35.785043,148.34682,0,215.70059204101562,0.9670000672340393
-36.767292,148.716562,0,215.70059204101562,0.9670000672340393
-35.813608,146.003078,1,213.49864196777344,0.9450000524520874
-36.371598,145.449455,1,213.80271911621094,0.9750000238418579
-33.737506,149.546929,0,215.70059204101562,0.9670000672340393
-33.4493,150.635,1,215.70059204101562,0.9670000672340393
-34.456427,149.245898,0,215.70059204101562,0.9670000672340393
-37.279893,141.500049,0,231.30352783203125,0.9200000166893005
-33.9889,151.026,1,215.70059204101562,0.9670000672340393
-33.685777,146.152438,0,209.4008331298828,0.9380000233650208
-37.5207,145.785,1,198.59854125976562,0.8280000686645508
-36.368164,142.980717,1,230.50331115722656,1.0070000886917114
-38.7433,143.672,1,214.49871826171875,0.9510000348091125
-34.83458,144.924416,0,217.89984130859375,0.9740000367164612
-35.1678,147.35,1,192.3968505859375,1.0800000429153442
-36.6329,146.344,1,204.20008850097656,0.9790000319480896
