Latitude,Longitude,Occurrence Status,srad,vap,aet,def,pdsi,pet,ppt,q,soil,swe,tmax,tmin,vpd,ws
-34.0279,150.771,1,200.7991485595703,1.2330000400543213,53.5,65.30000305175781,-4.5,115.5,49.7,2.5,16.700000762939453,0.0,23.899999618530273,12.59999942779541,0.8100000023841858,3.5999999046325684
-34.821595,147.193697,1,218.40399169921875,0.9420000314712524,24.700000762939453,110.9000015258789,-3.8999998569488525,144.6999969482422,25.900000000000002,1.3,2.5,0.0,24.5,10.899999618530273,1.3299999237060547,3.0999999046325684
-36.617759,146.882941,0,204.00003051757812,0.9420000314712524,51.29999923706055,28.200000762939453,-3.799999952316284,115.0999984741211,69.9,3.5,68.80000305175781,0.0,21.399999618530273,8.09999942779541,0.7799999713897705,3.1999998092651367
-37.4709,144.744,1,204.400146484375,0.9510000348091125,41.0,67.30000305175781,-4.699999809265137,120.70000457763672,45.0,2.3000000000000003,11.300000190734863,0.0,20.19999885559082,8.0,0.699999988079071,4.400000095367432
-38.400153,145.01856,1,189.20396423339844,1.096000075340271,58.900001525878906,29.5,-4.799999713897705,109.5,71.10000000000001,3.6,43.0,0.0,18.899999618530273,9.899999618530273,0.5,5.599999904632568
-35.328601,150.401424,0,198.30245971679688,1.2980000972747803,64.4000015258789,36.900001525878906,-4.599999904632568,107.9000015258789,63.400000000000006,3.2,35.900001525878906,0.0,22.100000381469727,13.0,0.6299999952316284,3.799999952316284
-38.394039,146.23123,0,182.69818115234375,1.0460000038146973,52.900001525878906,8.0,-5.099999904632568,109.20000457763672,81.30000000000001,4.9,101.70000457763672,0.0,19.5,8.399999618530273,0.5299999713897705,4.199999809265137
-34.79867,144.945172,0,231.1034698486328,1.003000020980835,20.399999618530273,132.1999969482422,-2.5999999046325684,152.10000610351562,21.5,1.1,0.9000000357627869,0.0,26.799999237060547,11.5,1.5,3.0999999046325684
-38.000732,143.813159,0,196.7980499267578,1.0180000066757202,37.60000228881836,73.4000015258789,-4.199999809265137,115.30000305175781,43.400000000000006,2.2,10.699999809265137,0.0,19.600000381469727,8.399999618530273,0.5999999642372131,4.199999809265137
-34.3455,148.272,1,211.19961547851562,0.921000063419342,37.20000076293945,85.5999984741211,-4.5,129.40000915527344,39.300000000000004,2.0,3.799999952316284,0.0,23.100000381469727,8.399999618530273,1.0399999618530273,3.299999952316284
-38.470705,145.26908,0,189.90016174316406,1.152000069618225,56.5,44.400001525878906,-5.5,113.80000305175781,63.2,3.2,36.79999923706055,0.0,19.69999885559082,10.399999618530273,0.5299999713897705,5.900000095367432
-37.243579,144.102252,1,209.49754333496094,0.9230000376701355,44.79999923706055,69.5999984741211,-3.8999998569488525,116.20000457763672,49.2,2.5,19.899999618530273,0.0,20.0,7.099999904632568,0.7099999785423279,4.199999809265137
-35.015442,150.82844,1,195.30096435546875,1.4140000343322754,71.30000305175781,36.400001525878906,-4.900000095367432,105.20000457763672,67.3,3.4000000000000004,45.0,0.0,22.100000381469727,14.299999237060547,0.6200000047683716,4.5
-34.949843,149.483145,1,202.999755859375,0.8920000195503235,36.0,53.79999923706055,-4.400000095367432,112.0,44.400000000000006,2.2,4.300000190734863,0.0,20.100000381469727,7.099999904632568,0.6699999570846558,3.299999952316284
-34.125963,150.559934,1,199.39877319335938,1.1540000438690186,54.70000076293945,59.900001525878906,-4.599999904632568,107.20000457763672,52.1,2.6,17.700000762939453,0.0,22.69999885559082,10.800000190734863,0.7299999594688416,3.1999998092651367
-34.789365,145.982271,0,226.50221252441406,0.9850000739097595,18.899999618530273,119.0999984741211,-3.5,147.40000915527344,19.8,1.0,1.7000000476837158,0.0,26.0,11.199999809265137,1.3700000047683716,3.0999999046325684
-34.3694,150.544,1,197.39822387695312,1.1110000610351562,57.5,43.70000076293945,-4.799999713897705,103.70000457763672,62.400000000000006,3.1,30.0,0.0,21.100000381469727,10.199999809265137,0.5999999642372131,3.6999998092651367
-34.344694,149.667427,1,209.69760131835938,0.8580000400543213,42.60000228881836,48.20000076293945,-4.900000095367432,108.70000457763672,49.2,2.5,11.699999809265137,0.0,19.69999885559082,7.0,0.6800000071525574,3.5
-37.964772,141.046056,0,187.8035888671875,1.1180000305175781,53.0,36.29999923706055,-2.799999952316284,105.5,51.7,2.6,57.0,0.0,19.600000381469727,9.199999809265137,0.5099999904632568,5.799999713897705
-34.558865,145.260698,0,230.39927673339844,1.0220000743865967,19.700000762939453,127.80000305175781,-3.0,148.10000610351562,20.700000000000003,1.0,0.800000011920929,0.0,26.899999618530273,11.800000190734863,1.4900000095367432,3.0999999046325684
